scientific_name,common_name,species_annotation_codes,eBird_codes,order,notes,habitat,foraging_habit,family,avibase_ID,total_individuals,female,male,unknown,complete_measures,beakLength_culmen,beakLength_nares,beak_width,beak_depth,tarsus_length,wing_length,kipps_distance,secondary,hand_wing_index,tail_length,mass,migration,trophic_level,trophic_niche,primary_lifestyle
Muscicapa muttui,Brown-breasted Flycatcher,BBF,BBFL,Passeriformes,,RF,UND,Muscicapidae,AVIBASE-472841E9,5,2,3,0,4,14.9,8.7,5.1,3.7,13.1,71.4,18.8,53.2,26.1,55,12,3,Carnivore,Invertivore,Insessorial
Yungipicus nanus,Brown-capped Pygmy Woodpecker,BCPW,BCPW,Piciformes,,OC,CAN,Picidae,AVIBASE-DB8E1EC2,5,2,3,0,4,13.8,10.5,4.1,4.4,13.5,76.4,21.1,55.9,27.4,36,16.2,1,Carnivore,Invertivore,Insessorial
Alcippe poioicephala,Brown-cheeked Fulvetta,BCF,BCFU,Passeriformes,,RF,MID,Leiothrichidae,AVIBASE-E4C78D6C,5,2,3,0,4,14.7,8.2,3.6,4.2,21.2,69.5,7.5,61.6,10.9,65.5,20.7,1,Carnivore,Invertivore,Insessorial
Merops leschenaulti,Chestnut-headed Bee-eater,CHBE,CHBE,Coraciiformes,,RF,AER,Meropidae,AVIBASE-F8652F4F,5,2,3,0,4,38.3,28.9,7.5,6.3,11.1,106.2,43.7,62,41.4,80.2,27.2,1,Carnivore,Invertivore,Insessorial
Dinopium javanense,Common Flameback,CF,COFL,Piciformes,,RF,MID,Picidae,AVIBASE-8A613564,5,2,3,0,4,28.9,21,7.8,7.6,22,134.1,28.1,105.3,21,96.8,72.8,1,Carnivore,Invertivore,Insessorial
Hierococcyx varius,Common Hawk-Cuckoo,CHC,CHCU,Cuculiformes,order NA,OC,CAN,Cuculidae,AVIBASE-0880DDC8,5,2,3,0,4,26.1,14.9,7.7,7.6,23.5,191,66.8,124,35,161.4,103,1,Carnivore,Invertivore,Insessorial
Aegithina tiphia,Common Iora,CI,COIO,Passeriformes,,OC,MID,Aegithinidae,AVIBASE-EEC311EA,14,1,12,1,13,17,10.8,4.3,4.5,19.7,61.6,6.2,55.2,10,47.8,12,1,Carnivore,Invertivore,Insessorial
Carpodacus erythrinus,Common Rosefinch,CR,CORO,Passeriformes,eBird_code NA,OC,CAN,Fringillidae,AVIBASE-3A713345,8,3,5,0,4,12,8,6.8,7.9,16.4,80.2,24.7,55.8,30.8,58.6,24,3,Herbivore,Granivore,Insessorial
Orthotomus sutorius,Common Tailorbird,CT,COTA,Passeriformes,,OC,UND,Cisticolidae,AVIBASE-AF5B727B,17,6,11,0,16,15.5,8.9,2.7,2.6,19.3,45.5,4.8,40.8,10.4,47.7,7.5,1,Carnivore,Invertivore,Insessorial
Accipiter trivirgatus,Crested Goshawk,CG,CRGO,Accipitriformes,,RF,CAN,Accipitridae,AVIBASE-0D4EE0EB,15,9,4,2,12,31.7,17.3,10.5,14.1,56.9,216.2,49.6,166.1,23,171.9,265,1,Carnivore,Vertivore,Insessorial
