"filename","restoration_type","eBird_codes","bout","song","call","begin_time_in_s","end_time_in_s","low_freq_in_Hz","high_freq_in_Hz","peak_freq_in_Hz","center_freq_in_Hz","delta_freq_in_Hz","BW_90_in_Hz","delta_time_in_s","dur_90_in_s","min_amp","max_amp","peak_amp"
"INOA03R_20201217_062000_40-50","Active","ABFL","bout 1",0,1,6.50556266,6.90828796,5040.9,9412.6,8156.25,7593.75,4371.747,3562.5,0.4027,0.32,-2826,2907,2907
"INOA03R_20201217_062000_40-50","Active","ABFL","bout 2",0,1,8.41386103,8.83517366,4505.6,9189.6,7500,7406.25,4684.015,3375,0.4213,0.3093,-6082,6014,6082
"INOA03R_20201217_062000_40-50","Active","ABFL","bout 3",0,1,9.22550742,9.72116934,5710,9457.2,8062.5,7875,3747.212,3375,0.4957,0.4267,-863,953,953
"INOA03R_20201217_062000_50-60","Active","ABFL","bout 1",0,1,0.08054506,0.58240275,5977.7,9278.8,6656.25,7312.5,3301.115,2812.5,0.5019,0.432,-661,687,687
"INOA03R_20201217_062000_50-60","Active","ABFL","bout 2",0,1,1.3568745,2.74472786,4371.7,9903.3,7500,7218.75,5531.599,4218.75,1.3879,1.184,-2361,2671,2671
"INOA03R_20201217_062000_50-60","Active","ABFL","bout 3",0,1,3.22799823,4.60965582,4817.8,9858.7,7125,7218.75,5040.892,3468.75,1.3817,1.072,-4504,4227,4504
"INOA03R_20201217_062000_50-60","Active","ABFL","bout 4",0,1,7.33579637,8.0173315,5710,9323.4,6937.5,7500,3613.383,3093.75,0.6815,0.608,-2418,2424,2424
"INOA03R_20201217_062000_50-60","Active","ABFL","bout 5",0,1,8.45103568,8.81658634,5754.6,9011.2,8062.5,7500,3256.506,2718.75,0.3656,0.304,-1427,1469,1469
"INOA03R_20201217_062000_50-60","Active","ABFL","bout 6",0,1,9.50431725,9.99997917,5754.6,9145,8156.25,7500,3390.335,2906.25,0.4957,0.4693,-1219,1255,1255
"INOA03R_20201217_062000_60-70","Active","ABFL","bout 1",0,1,0.03717464,1.01610693,5843.9,9100.4,9000,7781.25,3256.506,2906.25,0.9789,0.848,-3687,3734,3734
"INOA03R_20201217_062000_60-70","Active","ABFL","bout 2",0,1,2.52168,3.04832079,5843.9,9278.8,7218.75,7500,3434.944,2812.5,0.5266,0.432,-695,775,775
"INOA03R_20201217_062000_60-70","Active","ABFL","bout 3",0,1,4.05823194,4.3060629,5397.8,9055.8,7593.75,7312.5,3657.993,3187.5,0.2478,0.2187,-1054,1015,1054
"INOA03R_20201217_062000_60-70","Active","ABFL","bout 4",0,1,4.88846565,5.19825435,5620.8,8921.9,7406.25,7312.5,3301.115,2906.25,0.3098,0.2667,-1086,1206,1206
"INOA03R_20201217_062000_60-70","Active","ABFL","bout 5",0,1,5.77446133,5.89837681,5843.9,9100.4,8250,7593.75,3256.506,2718.75,0.1239,0.0907,-1021,1369,1369
"INOA03R_20201217_062000_60-70","Active","ABFL","bout 6",0,1,8.40766526,9.47333838,5799.3,9323.4,9187.5,7593.75,3524.164,3093.75,1.0657,0.928,-2813,2812,2813
"INOA03R_20201217_062000_70-80","Active","ABFL","bout 1",0,1,1.58611813,3.02973347,5531.6,9189.6,7781.25,7687.5,3657.993,3187.5,1.4436,1.3493,-2635,2595,2635
"INOA03R_20201217_062000_70-80","Active","ABFL","bout 2",0,1,7.11894428,8.86615253,5799.3,9546.5,8812.5,7687.5,3747.212,3281.25,1.7472,1.552,-2193,2722,2722
"SEL107R_20201204_082000_100-110","Active","ABFL","bout 1",0,1,2.651791254,3.550178477,4371.7,8297.4,7687.5,7406.25,3925.651,3093.75,0.8984,0.704,-704,750,750
"SEL107R_20201204_082000_100-110","Active","ABFL","bout 2",0,1,6.511758429,6.970245702,4773.2,8163.6,7687.5,7406.25,3390.335,2906.25,0.4585,0.3467,-743,840,840
"SEL107R_20201204_082000_110-120","Active","ABFL","bout 1",0,1,3.2589771,3.79181366,4550.2,8119,7781.25,7312.5,3568.773,2906.25,0.5328,0.416,-481,568,568
"SEL107U_20201204_082000_150-160","Passive","ABFL","bout 1",0,1,2.118954693,2.620812384,3301.1,6691.4,5437.5,5250,3390.335,2531.25,0.5019,0.4213,-829,1221,1221
"SEL107U_20201204_082000_150-160","Passive","ABFL","bout 2",0,1,3.184627814,3.785617888,3033.5,6736.1,5906.25,5437.5,3702.602,2343.75,0.601,0.5067,-1620,2055,2055
"SEL107U_20201204_082000_150-160","Passive","ABFL","bout 3",0,1,6.183382409,6.573716168,3390.3,6468.4,5812.5,5531.25,3078.067,1875,0.3903,0.32,-1737,2050,2050
"SEL107U_20201204_082000_150-160","Passive","ABFL","bout 4",0,1,9.653015825,9.999979167,3211.9,6334.6,6000,5250,3122.677,1968.75,0.347,0.2933,-1346,1461,1461
"SEL107U_20201204_082000_160-170","Passive","ABFL","bout 1",0,1,0,0.44609573,3702.6,6334.6,5343.75,5156.25,2631.97,1687.5,0.4461,0.3893,-1062,1284,1284
"SEL107U_20201204_082000_160-170","Passive","ABFL","bout 2",0,1,1.72242516,4.09540659,3390.3,7628.3,5250,5343.75,4237.918,3187.5,2.373,2.096,-1297,1175,1297
"SEL107U_20201204_082000_170-180","Passive","ABFL","bout 1",0,1,5.52663037,7.15611892,3211.9,7895.9,5625,5437.5,4684.015,3187.5,1.6295,1.392,-1907,1889,1907
"SEL107U_20201204_082000_180-190","Passive","ABFL","bout 1",0,1,0.89219145,1.72242516,2944.2,7494.4,5437.5,5343.75,4550.186,3000,0.8302,0.7627,-958,1033,1033
"SEL107U_20201204_082000_180-190","Passive","ABFL","bout 2",0,1,3.5439827,3.64931086,2899.6,7583.6,5156.25,5531.25,4684.015,2906.25,0.1053,0.08,-799,766,799
"SEL107U_20201204_082000_180-190","Passive","ABFL","bout 3",0,1,8.51299342,8.89093563,2542.8,7762.1,4968.75,5343.75,5219.331,3000,0.3779,0.3307,-2718,3080,3080
"SEL107U_20201204_082000_190-200","Passive","ABFL","bout 1",0,1,1.44361533,2.18710821,3479.6,6780.7,4781.25,4968.75,3301.115,2531.25,0.7435,0.6773,-609,780,780
"SEL107U_20201204_082000_190-200","Passive","ABFL","bout 2",0,1,3.28995597,4.03964462,2185.9,5799.3,4406.25,4500,3613.383,2625,0.7497,0.672,-703,893,893
"SEL107U_20201204_082000_190-200","Passive","ABFL","bout 3",0,1,4.58487273,6.03468383,2230.5,6334.6,4687.5,4968.75,4104.089,2625,1.4498,1.3067,-1331,1717,1717
"SEL107U_20201204_082000_190-200","Passive","ABFL","bout 4",0,1,7.26764285,7.69515126,2587.4,7226.8,5156.25,5062.5,4639.405,3375,0.4275,0.368,-951,1050,1050
"SEL107U_20201204_082000_190-200","Passive","ABFL","bout 5",0,1,8.32092442,8.82897789,2542.8,7360.6,4687.5,5062.5,4817.844,2906.25,0.5081,0.4373,-937,1039,1039
"SEL107U_20201204_082000_200-210","Passive","ABFL","bout 1",0,1,0.27880983,0.79925484,2141.3,7494.4,4968.75,5062.5,5353.16,3281.25,0.5204,0.48,-972,1270,1270
"SEL107U_20201204_082000_210-220","Passive","ABFL","bout 1",0,1,5.82402752,6.36925563,2052,6691.4,4781.25,4781.25,4639.405,3562.5,0.5452,0.4853,-885,840,885
"SEL107U_20201204_082000_210-220","Passive","ABFL","bout 2",0,1,6.87111332,7.32960059,1873.6,7583.6,4781.25,4875,5710.037,3562.5,0.4585,0.4,-1028,1319,1319
"SEL107U_20201204_082000_220-230","Passive","ABFL","bout 1",0,1,0,1.15241396,1918.2,7137.5,4781.25,4781.25,5219.331,3937.5,1.1524,1.0453,-1344,1062,1344
"SEL107U_20201204_082000_220-230","Passive","ABFL","bout 2",0,1,4.8760741,5.3531487,2052,7806.7,4875,4968.75,5754.647,4500,0.4771,0.4267,-1276,1308,1308
"VAR410U_20201130_094000_01-10","Passive","ABFL","bout 1",1,0,8.382882164,8.736041279,2988.8,6468.4,5250,5250,3479.554,1687.5,0.3532,0.3093,-1190,1070,1190
"VAR410U_20201130_094000_10-20","Passive","ABFL","bout 1",0,1,6.30729789,6.52414998,2721.2,7449.8,6468.75,6000,4728.625,3281.25,0.2169,0.1707,-1222,1274,1274
"VAR410U_20201130_094000_50-60","Passive","ABFL","bout 1",0,1,6.47458379,7.73852167,3301.1,8565.1,7031.25,5812.5,5263.941,3937.5,1.2639,1.152,-836,981,981
"VAR410U_20201130_095000_50-60","Passive","ABFL","bout 1",0,1,0.30359292,0.58859853,3167.3,9011.2,5343.75,5812.5,5843.866,4593.75,0.285,0.2613,-503,551,551
"VAR410U_20201130_095000_50-60","Passive","ABFL","bout 2",0,1,1.55513926,2.34200256,3791.8,9055.8,6843.75,6750,5263.941,4125,0.7869,0.6773,-527,632,632
"VAR410U_20201130_095000_50-60","Passive","ABFL","bout 3",1,0,8.70506241,9.73975666,2230.5,7895.9,6937.5,6281.25,5665.428,4218.75,1.0347,0.7947,-1186,1285,1285
"VAR410U_20201130_095000_60-70","Passive","ABFL","bout 1",1,0,2.34819833,3.19701936,2498.1,7672.9,6000,5812.5,5174.721,4781.25,0.8488,0.5547,-938,935,938
"VAR410U_20201130_095000_70-80","Passive","ABFL","bout 1",1,0,0.52664079,1.37546182,2498.1,7583.6,5906.25,5906.25,5085.502,4406.25,0.8488,0.64,-780,759,780
"VAR410U_20201130_095000_70-80","Passive","ABFL","bout 2",1,0,5.38412757,6.29490634,2676.6,8475.8,4968.75,6468.75,5799.257,4875,0.9108,0.7253,-674,671,674
"VAR410U_20201130_095000_70-80","Passive","ABFL","bout 3",1,0,8.97148069,9.73356089,2275.1,7583.6,4968.75,4968.75,5308.55,4406.25,0.7621,0.64,-1794,1835,1835
"VAR410U_20201130_095000_90-100","Passive","ABFL","bout 1",1,0,0.4337042,1.0656731,2275.1,8386.6,4968.75,5062.5,6111.524,5156.25,0.632,0.4853,-559,753,753
"VAR410U_20201130_095000_90-100","Passive","ABFL","bout 2",1,0,6.4374091,7.2800344,2721.2,7628.3,3843.75,5250,4907.063,3562.5,0.8426,0.608,-717,704,717
"VAR410U_20201130_095000_100-110","Passive","ABFL","bout 1",1,0,6.41882182,7.20568511,3211.9,9457.2,3656.25,6843.75,6245.353,5718.75,0.7869,0.64,-551,571,571
"HP4008U_20200307_181000_220-230","Passive","ABFL","bout 1",0,1,1.933081475,2.174716659,8074.3,10527.9,8625,8625,2453.532,1500,0.2416,0.16,-737,648,737
"HP4008U_20200307_181000_220-230","Passive","ABFL","bout 2",0,1,2.676574349,2.980167273,7628.3,10750.9,8343.75,8531.25,3122.677,1781.25,0.3036,0.1867,-621,640,640
"HP4008U_20200307_181000_220-230","Passive","ABFL","bout 3",0,1,3.971491106,4.287475578,7539,10750.9,8156.25,8437.5,3211.896,1968.75,0.316,0.2187,-548,504,548
"HP4008U_20200307_181500_01-10","Passive","ABFL","bout 1",0,1,0.30359292,0.60718585,7762.1,10527.9,8343.75,8531.25,2765.799,1500,0.3036,0.208,-607,606,607
"HP4008U_20200307_181500_01-10","Passive","ABFL","bout 2",0,1,3.17223627,3.5439827,7985.1,10840.1,8156.25,8625,2855.019,1500,0.3717,0.2133,-520,515,520
"HP4008U_20200307_181500_01-10","Passive","ABFL","bout 3",0,1,4.4733488,4.81411637,7851.3,10795.5,8156.25,8437.5,2944.238,1593.75,0.3408,0.2187,-481,616,616
"HP4008U_20200307_181500_01-10","Passive","ABFL","bout 4",0,1,7.37297101,7.73852167,7940.5,10438.7,8156.25,8625,2498.141,1406.25,0.3656,0.2187,-1162,1297,1297
"HP4008U_20200307_181500_01-10","Passive","ABFL","bout 5",0,1,8.94669759,9.36181445,7762.1,10706.3,8343.75,8531.25,2944.238,1593.75,0.4151,0.2293,-465,556,556
"HP4008U_20200307_181500_10-20","Passive","ABFL","bout 1",0,1,1.55513926,1.97645189,7717.5,11063.2,8156.25,8437.5,3345.725,1687.5,0.4213,0.2507,-641,597,641
"HP4008U_20200307_181500_10-20","Passive","ABFL","bout 2",0,1,3.5439827,3.95909956,7806.7,10394.1,8343.75,8625,2587.361,1593.75,0.4151,0.24,-476,683,683
"HP4008U_20200307_181500_10-20","Passive","ABFL","bout 3",0,1,4.86368256,5.19825435,7806.7,10349.4,8156.25,8531.25,2542.751,1687.5,0.3346,0.224,-441,579,579
"HP4008U_20200307_181500_10-20","Passive","ABFL","bout 4",0,1,5.92935568,6.35066831,7762.1,10349.4,8906.25,8437.5,2587.361,1593.75,0.4213,0.2507,-1425,1331,1425
"HP4008U_20200307_181500_10-20","Passive","ABFL","bout 5",0,1,7.55884423,7.91200334,7717.5,10215.6,8156.25,8343.75,2498.141,1500,0.3532,0.2187,-508,489,508
"HP4008U_20200307_181500_10-20","Passive","ABFL","bout 6",0,1,9.00245956,9.33703135,7717.5,9992.6,8156.25,8343.75,2275.093,1500,0.3346,0.208,-656,592,656
"HP4008U_20200307_181500_20-30","Passive","ABFL","bout 1",0,1,1.5923139,1.9392772,7628.3,10171,7968.75,8343.75,2542.751,1687.5,0.347,0.2133,-506,596,596
"HP4008U_20200307_181500_20-30","Passive","ABFL","bout 2",0,1,2.9182095,3.2403898,7539,10037.2,7781.25,8156.25,2498.141,1593.75,0.3222,0.2187,-589,576,589
"HP4008U_20200307_181500_20-30","Passive","ABFL","bout 3",0,1,4.1883432,4.5600896,7583.6,10171,7968.75,8250,2587.361,1593.75,0.3717,0.2293,-475,611,611
"HP4008U_20200307_181500_20-30","Passive","ABFL","bout 4",0,1,5.8240275,6.1895782,7717.5,10215.6,7968.75,8343.75,2498.141,1593.75,0.3656,0.224,-589,616,616
"HP4008U_20200307_181500_20-30","Passive","ABFL","bout 5",0,1,7.2056851,7.5712358,7672.9,10081.8,7875,8250,2408.922,1593.75,0.3656,0.2187,-568,657,657
"HP4008U_20200307_181500_20-30","Passive","ABFL","bout 6",0,1,8.990068,9.4175764,7672.9,10349.4,7968.75,8250,2676.58,1687.5,0.4275,0.2347,-521,635,635
"HP4008U_20200307_181500_30-40","Passive","ABFL","bout 1",0,1,0.4275084,0.8178422,7806.7,10215.6,7968.75,8437.5,2408.922,1687.5,0.3903,0.224,-478,557,557
"HP4008U_20200307_181500_30-40","Passive","ABFL","bout 2",0,1,3.3085433,3.7174644,7940.5,10661.7,8156.25,8718.75,2721.19,1875,0.4089,0.2347,-517,695,695
"HP4008U_20200307_181500_30-40","Passive","ABFL","bout 3",0,1,4.3184544,4.714984,7583.6,10483.3,7968.75,8343.75,2899.628,1781.25,0.3965,0.2347,-528,623,623
"HP4008U_20200307_181500_30-40","Passive","ABFL","bout 4",0,1,5.4460853,5.8302233,7494.4,10304.8,7781.25,8156.25,2810.409,1781.25,0.3841,0.2293,-545,601,601
"HP4008U_20200307_181500_30-40","Passive","ABFL","bout 5",0,1,6.908288,7.3234048,7360.6,10260.2,7781.25,8062.5,2899.628,1593.75,0.4151,0.2187,-549,650,650
"HP4008U_20200307_181500_30-40","Passive","ABFL","bout 6",0,1,8.1040723,8.4944061,7360.6,10081.8,7687.5,7968.75,2721.19,1687.5,0.3903,0.224,-1566,1406,1566
"HP4008U_20200307_181500_30-40","Passive","ABFL","bout 7",0,1,9.1697455,9.5476877,7316,10260.2,7781.25,7875,2944.238,1687.5,0.3779,0.224,-757,758,758
"HP4008U_20200307_181500_40-50","Passive","ABFL","bout 1",0,1,0.2540267,0.5885985,7137.5,9323.4,7687.5,7687.5,2185.874,1406.25,0.3346,0.2187,-476,585,585
"HP4008U_20200307_181500_40-50","Passive","ABFL","bout 2",0,1,1.5737266,1.9516688,7137.5,9368,8062.5,7875,2230.483,1687.5,0.3779,0.2347,-631,613,631
"HP4008U_20200307_181500_40-50","Passive","ABFL","bout 3",0,1,3.2156067,3.5811573,7182.2,9368,8156.25,8062.5,2185.874,1593.75,0.3656,0.224,-564,824,824
"HP4008U_20200307_181500_40-50","Passive","ABFL","bout 4",0,1,4.3618249,4.7087882,7182.2,9278.8,8062.5,7875,2096.654,1500,0.347,0.2293,-599,712,712
"HP4008U_20200307_181500_40-50","Passive","ABFL","bout 5",0,1,5.5204346,5.9107684,7226.8,9412.6,7593.75,7781.25,2185.874,1687.5,0.3903,0.2453,-652,727,727
"HP4008U_20200307_181500_40-50","Passive","ABFL","bout 6",0,1,7.428733,7.8314583,6959.1,8743.5,7218.75,7406.25,1784.387,1218.75,0.4027,0.24,-5305,5662,5662
"HP4008U_20200307_181500_40-50","Passive","ABFL","bout 7",0,1,8.4386441,8.8103906,6736.1,8877.3,7312.5,7500,2141.264,1406.25,0.3717,0.2027,-678,685,685
"HP4008U_20200307_181500_50-60","Passive","ABFL","bout 1",0,1,1.6852505,2.0384096,6825.3,8877.3,7406.25,7406.25,2052.045,1218.75,0.3532,0.208,-888,987,987
"HP4008U_20200307_181500_50-60","Passive","ABFL","bout 2",0,1,2.9677757,3.2961517,6557.6,8342,6937.5,7125,1784.387,1312.5,0.3284,0.208,-585,565,585
"HP4008U_20200307_181500_50-60","Passive","ABFL","bout 3",0,1,4.0086658,4.2874756,6691.4,8386.6,7406.25,7406.25,1695.167,1218.75,0.2788,0.192,-648,658,658
"HP4008U_20200307_181500_50-60","Passive","ABFL","bout 4",0,1,5.2230374,5.5266304,6691.4,8431.2,7406.25,7406.25,1739.777,1125,0.3036,0.208,-562,638,638
"HP4008U_20200307_181500_50-60","Passive","ABFL","bout 5",0,1,6.3630599,6.7038274,6825.3,8297.4,7125,7500,1472.119,1031.25,0.3408,0.208,-585,565,585
"HP4008U_20200307_181500_50-60","Passive","ABFL","bout 6",0,1,7.9305907,8.2899456,6914.5,8252.8,7312.5,7312.5,1338.29,843.75,0.3594,0.2027,-531,679,679
"HP4008U_20200307_181500_50-60","Passive","ABFL","bout 7",0,1,9.2936609,9.6530158,6959.1,8520.4,7218.75,7312.5,1561.338,937.5,0.3594,0.208,-509,630,630
"HP4008U_20200307_181500_60-70","Passive","ABFL","bout 1",0,1,0.576207,0.9107788,6780.7,8654.3,7031.25,7312.5,1873.606,1312.5,0.3346,0.224,-609,636,636
"HP4008U_20200307_181500_60-70","Passive","ABFL","bout 2",0,1,1.7162294,2.0446054,6423.8,8252.8,7218.75,7125,1828.996,1031.25,0.3284,0.1973,-572,742,742
"HP4008U_20200307_181500_60-70","Passive","ABFL","bout 3",0,1,3.2527813,3.6121362,6736.1,8431.2,7125,7218.75,1695.167,843.75,0.3594,0.2133,-628,647,647
"HP4008U_20200307_181500_60-70","Passive","ABFL","bout 4",0,1,4.2255178,4.5538939,6557.6,8565.1,6937.5,7125,2007.435,1406.25,0.3284,0.2027,-617,631,631
"HP4008U_20200307_181500_60-70","Passive","ABFL","bout 5",0,1,5.5204346,5.8797895,6736.1,8386.6,6937.5,7218.75,1650.558,1218.75,0.3594,0.2133,-545,763,763
"HP4008U_20200307_181500_60-70","Passive","ABFL","bout 6",0,1,7.100357,7.4906907,6423.8,8475.8,7125,7125,2052.045,1125,0.3903,0.24,-636,864,864
"HP4008U_20200307_181500_60-70","Passive","ABFL","bout 7",0,1,8.469623,8.8847399,6557.6,8788.1,7031.25,7218.75,2230.483,1406.25,0.4151,0.224,-600,699,699
"HP4008U_20200307_181500_60-70","Passive","ABFL","bout 8",0,1,9.6839947,9.9999792,6513,8342,6843.75,7031.25,1828.996,1312.5,0.316,0.1867,-636,627,636
"HP4008U_20200307_181500_70-80","Passive","ABFL","bout 1",0,1,0.6753394,0.8674084,6468.4,7940.5,7031.25,7218.75,1472.119,1031.25,0.1921,0.128,-623,554,623
"HP4008U_20200307_181500_70-80","Passive","ABFL","bout 2",0,1,1.7843829,2.137542,6513,8386.6,7031.25,7125,1873.606,1031.25,0.3532,0.2187,-550,584,584
"HP4008U_20200307_181500_70-80","Passive","ABFL","bout 3",0,1,2.9306011,3.2589771,6602.2,8252.8,7125,7218.75,1650.558,1031.25,0.3284,0.1973,-689,773,773
"HP4008U_20200307_181500_70-80","Passive","ABFL","bout 4",0,1,5.1301008,5.4708684,6736.1,8386.6,7218.75,7312.5,1650.558,1031.25,0.3408,0.2187,-847,738,847
"HP4008U_20200307_181500_70-80","Passive","ABFL","bout 5",0,1,6.52415,6.8897006,6869.9,8386.6,7125,7312.5,1516.729,937.5,0.3656,0.1973,-803,771,803
"HP4008U_20200307_181500_70-80","Passive","ABFL","bout 6",0,1,7.4597118,7.812871,6111.5,8074.3,6843.75,6843.75,1962.825,937.5,0.3532,0.1867,-782,934,934
"HP4008U_20200307_181500_70-80","Passive","ABFL","bout 7",0,1,8.9033272,9.2564863,6602.2,8475.8,7125,7218.75,1873.606,937.5,0.3532,0.1653,-629,801,801
"HP4008U_20200307_181500_80-90","Passive","ABFL","bout 1",0,1,0.3655507,0.7434929,6780.7,8475.8,7218.75,7406.25,1695.167,1125,0.3779,0.2187,-653,802,802
"HP4008U_20200307_181500_80-90","Passive","ABFL","bout 2",0,1,1.7162294,2.0817801,6646.8,8074.3,6937.5,7031.25,1427.509,937.5,0.3656,0.1707,-627,801,801
"HP4008U_20200307_181500_80-90","Passive","ABFL","bout 3",0,1,3.234194,3.5811573,6691.4,8877.3,7125,7406.25,2185.874,1312.5,0.347,0.224,-754,846,846
"HP4008U_20200307_181500_80-90","Passive","ABFL","bout 4",0,1,4.1201897,4.4733488,6557.6,8208.2,7031.25,7031.25,1650.558,1031.25,0.3532,0.192,-709,759,759
"HP4008U_20200307_181500_80-90","Passive","ABFL","bout 5",0,1,5.2168417,5.5328261,6423.8,8029.7,7125,7031.25,1605.948,843.75,0.316,0.1867,-596,650,650
"HP4008U_20200307_181500_80-90","Passive","ABFL","bout 6",0,1,6.2639275,6.5551288,6066.9,7717.5,6562.5,6656.25,1650.558,1031.25,0.2912,0.1973,-508,704,704
"HP4008U_20200307_181500_80-90","Passive","ABFL","bout 7",0,1,7.5030823,7.8066752,6111.5,8074.3,6750,6843.75,1962.825,1218.75,0.3036,0.2133,-925,1199,1199
"HP4008U_20200307_181500_80-90","Passive","ABFL","bout 8",0,1,8.4510357,8.7484328,6111.5,8386.6,6843.75,6843.75,2275.093,1593.75,0.2974,0.224,-558,668,668
"HP4008U_20200307_181500_90-100","Passive","ABFL","bout 1",0,1,0.3965295,0.7249056,6736.1,8297.4,7031.25,7218.75,1561.338,1312.5,0.3284,0.2507,-7294,6630,7294
"HP4008U_20200307_181500_90-100","Passive","ABFL","bout 2",0,1,2.0631927,2.4101561,6780.7,8475.8,7125,7218.75,1695.167,1218.75,0.347,0.224,-714,816,816
"HP4008U_20200307_181500_90-100","Passive","ABFL","bout 3",0,1,3.1970194,3.5501785,6557.6,8609.7,7125,7312.5,2052.045,1312.5,0.3532,0.224,-550,623,623
"HP4008U_20200307_181500_90-100","Passive","ABFL","bout 4",0,1,4.2255178,4.5848727,6334.6,8208.2,7031.25,7125,1873.606,843.75,0.3594,0.2133,-537,667,667
"HP4008U_20200307_181500_90-100","Passive","ABFL","bout 5",0,1,5.1548839,5.4646726,6736.1,7672.9,7125,7125,936.803,562.5,0.3098,0.1653,-630,613,630
"HP4008U_20200307_181500_90-100","Passive","ABFL","bout 6",0,1,6.3011021,6.604695,6602.2,7539,6937.5,6937.5,936.803,656.25,0.3036,0.1813,-551,650,650
"HP4008U_20200307_181500_90-100","Passive","ABFL","bout 7",0,1,7.0879654,7.4473203,6200.7,7940.5,6843.75,6843.75,1739.777,1312.5,0.3594,0.2347,-551,625,625
"HP4008U_20200307_181500_90-100","Passive","ABFL","bout 8",0,1,8.0111357,8.4076653,6156.1,8743.5,6375,6843.75,2587.361,1875,0.3965,0.2613,-562,590,590
"HP4008U_20200307_181500_90-100","Passive","ABFL","bout 9",0,1,9.7521482,9.9999792,6066.9,8565.1,6562.5,6656.25,2498.141,1687.5,0.2478,0.1973,-591,699,699
"HP4008U_20200307_181500_100-110","Passive","ABFL","bout 1",0,1,0.89838722,1.15860973,6022.3,7182.2,6375,6375,1159.851,843.75,0.2602,0.16,-623,625,625
"HP4008U_20200307_181500_100-110","Passive","ABFL","bout 2",0,1,2.29243636,2.60842084,6111.5,8029.7,6562.5,6656.25,1918.216,937.5,0.316,0.176,-750,802,802
"HP4008U_20200307_181500_100-110","Passive","ABFL","bout 3",0,1,3.45724187,3.76083479,6200.7,8029.7,6843.75,6843.75,1828.996,1125,0.3036,0.1813,-728,810,810
"HP4008U_20200307_181500_100-110","Passive","ABFL","bout 4",0,1,4.56628541,4.90705297,5977.7,7851.3,6843.75,6656.25,1873.606,1218.75,0.3408,0.2027,-577,702,702
"HP4008U_20200307_181500_100-110","Passive","ABFL","bout 5",0,1,5.947943,6.35066831,6156.1,8208.2,6750,6750,2052.045,1312.5,0.4027,0.208,-695,795,795
"HP4008U_20200307_181500_100-110","Passive","ABFL","bout 6",0,1,6.93307106,7.31101327,6111.5,8252.8,6562.5,6656.25,2141.264,1312.5,0.3779,0.2027,-730,807,807
"HP4008U_20200307_181500_100-110","Passive","ABFL","bout 7",0,1,9.72736511,9.99997917,6066.9,8208.2,7031.25,7031.25,2141.264,1031.25,0.2726,0.1867,-602,796,796
"HP4008U_20200307_181500_110-120","Passive","ABFL","bout 1",0,1,1.74101248,2.04460541,6691.4,7806.7,7031.25,7125,1115.242,656.25,0.3036,0.1493,-836,654,836
"HP4008U_20200307_181500_110-120","Passive","ABFL","bout 2",0,1,2.98016727,3.29615175,6290,8386.6,7218.75,7312.5,2096.654,1125,0.316,0.1973,-831,805,831
"HP4008U_20200307_181500_110-120","Passive","ABFL","bout 3",0,1,4.63443892,4.97520649,6691.4,8609.7,7406.25,7406.25,1918.216,937.5,0.3408,0.1813,-712,933,933
"HP4008U_20200307_181500_110-120","Passive","ABFL","bout 4",0,1,7.72613012,8.04831037,6959.1,8698.9,7687.5,7593.75,1739.777,1031.25,0.3222,0.1707,-1266,1652,1652
"HP4008U_20200307_181500_110-120","Passive","ABFL","bout 5",0,1,8.6369089,8.97148069,6557.6,8208.2,6843.75,6937.5,1650.558,1218.75,0.3346,0.1867,-1409,1674,1674
"HP4008U_20200307_181500_110-120","Passive","ABFL","bout 6",0,1,9.40518487,9.69019047,6691.4,8163.6,7125,7125,1472.119,937.5,0.285,0.1813,-843,954,954
"HP4008U_20200307_181500_120-130","Passive","ABFL","bout 1",0,1,0.10532816,0.4770746,6290,8342,7218.75,7218.75,2052.045,1031.25,0.3717,0.1813,-1297,1376,1376
"HP4008U_20200307_181500_120-130","Passive","ABFL","bout 2",0,1,1.10284776,1.38165759,6423.8,7672.9,6750,6843.75,1249.071,843.75,0.2788,0.16,-692,721,721
"HP4008U_20200307_181500_120-130","Passive","ABFL","bout 3",0,1,2.87483912,3.20321514,6736.1,7962.8,7312.5,7125,1226.766,937.5,0.3284,0.1867,-1210,1248,1248
"HP4008U_20200307_181500_120-130","Passive","ABFL","bout 4",0,1,4.96901071,5.27879941,6713.8,8386.6,7218.75,7312.5,1672.862,937.5,0.3098,0.1707,-1189,1304,1304
"HP4008U_20200307_181500_120-130","Passive","ABFL","bout 5",0,1,6.07805425,6.38164718,6691.4,7762.1,6937.5,6937.5,1070.632,656.25,0.3036,0.1813,-571,593,593
"HP4008U_20200307_181500_120-130","Passive","ABFL","bout 6",0,1,8.95289337,9.24409474,6423.8,8208.2,7125,7125,1784.387,1218.75,0.2912,0.1867,-651,726,726
"HP4008U_20200307_181500_130-140","Passive","ABFL","bout 1",0,1,0.40272531,0.67533936,6290,8208.2,6843.75,7125,1918.216,1218.75,0.2726,0.1813,-610,591,610
"HP4008U_20200307_181500_130-140","Passive","ABFL","bout 2",0,1,1.27013366,1.56753081,6334.6,7851.3,7125,6843.75,1516.729,1125,0.2974,0.192,-459,581,581
"HP4008U_20200307_181500_130-140","Passive","ABFL","bout 3",0,1,2.2118913,2.61461661,6022.3,8520.4,6937.5,6937.5,2498.141,1781.25,0.4027,0.2773,-633,681,681
