"filename","restoration_type","eBird_codes","bout","song","call","begin_time_in_s","end_time_in_s","low_freq_in_Hz","high_freq_in_Hz","peak_freq_in_Hz","center_freq_in_Hz","delta_freq_in_Hz","BW_90_in_Hz","delta_time_in_s","dur_90_in_s","min_amp","max_amp","peak_amp"
"IPTO06U_20200502_094000_90-100.wav","Passive","RVBU","bout 2",0,1,7.5313913,7.80777269999999,1610.7,4107.4,2812.5,2812.5,2496.644,1593.75,0.2764,0.2027,-838,953,953
"IPTO06U_20200502_094000_100-110.wav","Passive","RVBU","bout 1",0,1,0.207286000000011,0.609295199999991,1892.6,3503.4,2531.25,2531.25,1610.738,1218.75,0.402,0.3147,-950,924,950
"IPTO06U_20200502_094000_100-110.wav","Passive","RVBU","bout 2",0,1,5.37687320000001,5.9107917,1530.2,4469.8,2437.5,2718.75,2939.597,750,0.5339,0.4267,-1831,1733,1831
"IPTO06U_20200502_094000_110-120.wav","Passive","RVBU","bout 1",0,1,1.63944379999998,2.21105069999999,1369.1,4429.5,2906.25,2625,3060.403,750,0.5716,0.432,-1422,1405,1422
"IPTO06U_20200502_094000_110-120.wav","Passive","RVBU","bout 2",0,1,5.10049190000001,5.65325460000003,1409.4,4308.7,2906.25,2718.75,2899.329,937.5,0.5528,0.4267,-1205,1352,1352
"IPTO06U_20200502_094000_110-120.wav","Passive","RVBU","bout 3",0,1,9.01380030000001,9.56656299999997,1651,4187.9,2343.75,2625,2536.913,937.5,0.5528,0.4,-857,894,894
"IPTO06U_20200502_094000_120-130.wav","Passive","RVBU","bout 1",0,1,2.9836621,3.51758059999997,1610.7,4268.5,2625,2625,2657.718,1125,0.5339,0.368,-949,987,987
"IPTO06U_20200502_094000_120-130.wav","Passive","RVBU","bout 2",0,1,8.89445380000001,9.16455380000002,1449.7,3100.7,2812.5,2718.75,1651.007,1125,0.2701,0.1867,-701,780,780
"IPTO06U_20200502_094000_130-140.wav","Passive","RVBU","bout 1",0,1,1.95979490000002,2.6130599,1651,4147.7,2625,2531.25,2496.644,1593.75,0.6533,0.5067,-883,949,949
"IPTO06U_20200502_094000_150-160.wav","Passive","RVBU","bout 1",0,1,2.46230639999999,3.00878770000003,1610.7,3100.7,2437.5,2437.5,1489.933,937.5,0.5465,0.4533,-830,747,830
"IPTO06U_20200502_094000_160-170.wav","Passive","RVBU","bout 1",0,1,3.97612240000001,4.23994090000002,1731.5,3624.2,2437.5,2531.25,1892.617,1406.25,0.2638,0.2027,-663,723,723
"IPTO06U_20200502_094000_160-170.wav","Passive","RVBU","bout 2",0,1,5.67838010000003,6.29395670000002,1610.7,3704.7,2437.5,2437.5,2093.96,1218.75,0.6156,0.4533,-910,849,910
"IPTO06U_20200502_094000_160-170.wav","Passive","RVBU","bout 3",0,1,8.53641440000001,8.80023290000003,1651,3463.1,2343.75,2437.5,1812.081,1500,0.2638,0.2187,-658,647,658
"IPTO06U_20200502_094000_170-180.wav","Passive","RVBU","bout 1",0,1,0.232411599999978,0.891957900000023,1651,3865.8,2625,2531.25,2214.765,1406.25,0.6595,0.4533,-974,967,974
"IPTO06U_20200502_094000_170-180.wav","Passive","RVBU","bout 2",0,1,2.98994349999998,3.67461550000002,1812.1,3785.2,2718.75,2625,1973.154,1500,0.6847,0.528,-805,783,805
"IPTO06U_20200502_094000_170-180.wav","Passive","RVBU","bout 3",0,1,7.2298844,7.72611460000002,1731.5,2939.6,2250,2250,1208.054,937.5,0.4962,0.4533,-938,942,942
"IPTO06U_20200502_094000_170-180.wav","Passive","RVBU","bout 4",0,1,8.7499818,9.47234209999999,1651,3342.3,2812.5,2812.5,1691.275,1218.75,0.7224,0.576,-922,962,962
"IPTO06U_20200502_094000_180-190.wav","Passive","RVBU","bout 1",0,1,1.84044840000001,2.41205530000002,1852.3,3302,2156.25,2437.5,1449.664,1031.25,0.5716,0.5227,-948,898,948
"IPTO06U_20200502_094000_180-190.wav","Passive","RVBU","bout 2",0,1,4.49747810000002,4.73617100000001,1852.3,3624.2,2156.25,2531.25,1771.812,1406.25,0.2387,0.176,-947,1019,1019
"IPTO06U_20200502_094000_180-190.wav","Passive","RVBU","bout 3",0,1,7.23616579999998,7.40576349999998,1731.5,3140.9,2343.75,2343.75,1409.396,843.75,0.1696,0.128,-601,640,640
"IPTO06U_20200502_094000_180-190.wav","Passive","RVBU","bout 4",0,1,9.51003040000001,9.99997919999998,2375.8,3261.7,2906.25,2906.25,885.906,468.75,0.4899,0.3947,-737,748,748
"IPTO06U_20200502_094000_190-200.wav","Passive","RVBU","bout 1",0,1,0,0.326632500000017,2375.8,3261.7,2812.5,2812.5,885.906,468.75,0.3266,0.272,-896,865,896
"IPTO06U_20200502_094000_190-200.wav","Passive","RVBU","bout 2",0,1,3.285169,3.47361089999998,2577.2,4107.4,3843.75,3468.75,1530.201,1125,0.1884,0.1387,-716,685,716
"IPTO06U_20200502_094000_190-200.wav","Passive","RVBU","bout 3",0,1,5.58415919999999,6.08667070000001,1812.1,3503.4,2437.5,2437.5,1691.275,1218.75,0.5025,0.4213,-760,983,983
"VAR410R_20200311_094500_190-200.wav","Active","RWLA","bout 4",0,1,1.7650717,2.24245764,1731.5,2536.9,2343.75,2343.75,805.369,562.5,0.4774,0.3947,-673,863,863
"VAR410R_20200311_094500_190-200.wav","Active","RWLA","bout 5",0,1,2.744969156,3.297731823,1691.3,2536.9,2156.25,2250,845.638,562.5,0.5528,0.5013,-415,465,465
"VAR410R_20200311_094500_190-200.wav","Active","RWLA","bout 6",0,1,9.126865408,9.755004803,1610.7,2577.2,2250,2250,966.443,656.25,0.6281,0.576,-448,569,569
"VAR410R_20200311_094500_200-210.wav","Active","RWLA","bout 1",0,1,1.48869037,2.15451812,1691.3,2657.7,2156.25,2343.75,966.443,562.5,0.6658,0.544,-742,466,742
"VAR410R_20200311_094500_200-210.wav","Active","RWLA","bout 2",0,1,0.50879291,1.04899279,1610.7,2577.2,2156.25,2250,966.443,656.25,0.5402,0.4853,-583,487,583
"VAR410R_20200311_095000_220-230.wav","Active","RWLA","bout 1",0,1,0.0879395200000062,0.596732430000003,1691.3,2536.9,2250,2343.75,845.638,656.25,0.5088,0.4267,-413,426,426
"VAR410R_20200311_095000_220-230.wav","Active","RWLA","bout 2",0,1,1.23115321,1.94095073,1771.8,2577.2,2343.75,2343.75,805.369,656.25,0.7098,0.6347,-484,862,862
"VAR410R_20200311_095500_70-80.wav","Active","RWLA","bout 1",0,1,0.766330100000005,1.4070322,1691.3,2577.2,2437.5,2343.75,885.906,656.25,0.6407,0.544,-971,1140,1140
"VAR410R_20200311_095500_70-80.wav","Active","RWLA","bout 2",0,1,2.0037647,2.60049710000001,1892.6,2778.5,2437.5,2343.75,885.906,750,0.5967,0.496,-1007,1075,1075
"VAR410R_20200311_095500_110-120.wav","Active","RWLA","bout 1",0,1,2.75125060000001,3.3228574,1691.3,2577.2,2343.75,2343.75,885.906,562.5,0.5716,0.4693,-412,604,604
"VAR410R_20200311_095500_110-120.wav","Active","RWLA","bout 2",0,1,6.6268706,7.21732160000001,1771.8,2577.2,2437.5,2250,805.369,656.25,0.5905,0.5333,-359,458,458
"VAR410R_20200311_095500_120-130.wav","Active","RWLA","bout 1",0,1,1.72110190000001,2.3366785,1771.8,2617.4,2156.25,2250,845.638,656.25,0.6156,0.5547,-494,411,494
"VAR410R_20200311_095500_120-130.wav","Active","RWLA","bout 2",0,1,5.0879291,5.6783801,1610.7,2536.9,2343.75,2250,926.174,656.25,0.5905,0.512,-426,439,439
"VAR410R_20200311_095500_140-150.wav","Active","RWLA","bout 1",0,1,5.77260100000001,6.3567707,1610.7,2496.6,2250,2250,885.906,750,0.5842,0.5013,-545,735,735
"UPMAP5B_20200309_095500_50-60.wav","Benchmark","GBCU","bout 1",0,1,0.34547667,0.690953329999999,1731.5,2335.6,2156.25,2156.25,604.027,281.25,0.3455,0.24,-483,546,546
"UPMAP5B_20200309_095500_50-60.wav","Benchmark","GBCU","bout 2",0,1,1.90954376,2.61305988,1087.2,1852.3,1781.25,1687.5,765.101,562.5,0.7035,0.5173,-561,574,574
"OLV208R_20200319_092000_190-200.wav","Active","GBCU","bout 1",0,1,0.35175806,0.85426958,1228.2,1671.1,1593.75,1500,442.953,281.25,0.5025,0.432,-1026,995,1026
"PANMP1B_20200317_175500_10-20.wav","Benchmark","HSWO","bout 1",0,1,2.782657519,5.144461644,2657.7,3986.6,3750,3562.5,1328.859,937.5,2.3618,2.1013,-303,334,334
"PANMP1B_20200317_175500_10-20.wav","Benchmark","HSWO","bout 2",0,1,7.675863406,9.579125772,2657.7,4147.7,3468.75,3656.25,1489.933,1125,1.9033,1.68,-350,332,350
"PANMP1B_20200317_175500_30-40.wav","Benchmark","HSWO","bout 1",0,1,6.7524985,7.01631704,2818.8,4429.5,3843.75,3843.75,1610.738,1312.5,0.2638,0.224,-238,324,324
"PANMP1B_20200317_175500_30-40.wav","Benchmark","HSWO","bout 2",0,1,7.56907971,7.85802382999999,3020.1,4228.2,3937.5,3937.5,1208.054,843.75,0.2889,0.2507,-265,303,303
"PANMP1B_20200317_175500_30-40.wav","Benchmark","HSWO","bout 3",0,1,8.46731904000001,8.66832365,3020.1,4711.4,4218.75,4312.5,1691.275,1312.5,0.201,0.176,-262,280,280
"PANMP1B_20200317_175500_50-60.wav","Benchmark","HSWO","bout 1",0,1,4.5665734,4.77385940000001,2698,3745,3468.75,3375,1046.98,937.5,0.2073,0.1867,-218,266,266
"PANMP1B_20200317_175500_50-60.wav","Benchmark","HSWO","bout 2",0,1,5.92963589,6.22486139999999,2979.9,4067.1,3843.75,3843.75,1087.248,750,0.2952,0.256,-217,257,257
"PANMP1B_20200317_175500_50-60.wav","Benchmark","HSWO","bout 3",0,1,7.38691928,7.61933086000001,2899.3,4429.5,4218.75,3937.5,1530.201,1218.75,0.2324,0.1867,-410,431,431
"PANMP1B_20200317_175500_70-80.wav","Benchmark","HSWO","bout 1",0,1,7.6821448,8.0024959,2899.3,4067.1,3843.75,3750,1167.785,937.5,0.3204,0.288,-282,287,287
"PANMP1B_20200317_175500_70-80.wav","Benchmark","HSWO","bout 2",0,1,8.4798818,8.7185748,2899.3,4187.9,4031.25,3937.5,1288.591,937.5,0.2387,0.2027,-258,272,272
"PANMP1B_20200317_175500_100-110.wav","Benchmark","HSWO","bout 1",0,1,4.02009213,4.26506649,2939.6,3906,3187.5,3375,966.443,843.75,0.245,0.2133,-262,348,348
"PANMP1B_20200317_175500_100-110.wav","Benchmark","HSWO","bout 2",0,1,4.69220128,4.9811454,3422.8,4147.7,3937.5,3937.5,724.832,562.5,0.2889,0.224,-248,340,340
"PANMP1B_20200317_175500_100-110.wav","Benchmark","HSWO","bout 3",0,1,5.5025011,5.75375686,3020.1,3986.6,3375,3562.5,966.443,750,0.2513,0.208,-287,331,331
"PANMP1B_20200317_175500_100-110.wav","Benchmark","HSWO","bout 4",0,1,6.16204746,6.36305207,1530.2,2134.2,1875,1875,604.027,375,0.201,0.1707,-288,319,319
"PANMP1B_20200317_175500_110-120.wav","Benchmark","HSWO","bout 1",0,1,4.56029201,4.79270358,1288.6,2134.2,1312.5,1687.5,845.638,750,0.2324,0.208,-394,434,434
"PANMP1B_20200317_175500_110-120.wav","Benchmark","HSWO","bout 2",0,1,5.1947128,5.47737552,1369.1,2214.8,1968.75,1781.25,845.638,656.25,0.2827,0.2507,-345,342,345
"PANMP1B_20200317_175500_110-120.wav","Benchmark","HSWO","bout 3",0,1,5.99244983,6.24998698,1409.4,2134.2,1875,1875,724.832,562.5,0.2575,0.224,-377,356,377
"PANMP1B_20200317_175500_110-120.wav","Benchmark","HSWO","bout 4",0,1,6.80903104,7.04144262,1288.6,1973.2,1781.25,1687.5,684.564,656.25,0.2324,0.208,-328,403,403
"PANMP1B_20200317_175500_110-120.wav","Benchmark","HSWO","bout 5",0,1,7.62561225,7.97737032,3463.1,4187.9,4031.25,3937.5,724.832,656.25,0.3518,0.272,-418,457,457
"PANMP1B_20200317_175500_110-120.wav","Benchmark","HSWO","bout 6",0,1,8.60550971,8.8190771,3503.4,4147.7,3937.5,3937.5,644.295,468.75,0.2136,0.176,-404,389,404
"PANMP1B_20200317_175500_120-130.wav","Benchmark","HSWO","bout 1",0,1,8.2035005,8.50500741,1651,2174.5,1968.75,1968.75,523.49,468.75,0.3015,0.272,-309,391,391
"PANMP1B_20200317_175500_120-130.wav","Benchmark","HSWO","bout 2",0,1,8.99495614,9.25249329,1610.7,2134.2,1968.75,1875,523.49,375,0.2575,0.2027,-320,311,320
"PANMP1B_20200317_175500_130-140.wav","Benchmark","HSWO","bout 1",0,1,9.07661426,9.39068395,1651,2013.4,1781.25,1875,362.416,281.25,0.3141,0.256,-298,352,352
"PANMP1B_20200317_175500_150-160.wav","Benchmark","HSWO","bout 1",0,1,1.68969497,1.98492049,1570.5,2013.4,1968.75,1781.25,442.953,375,0.2952,0.2667,-308,343,343
"PANMP1B_20200317_175500_150-160.wav","Benchmark","HSWO","bout 2",0,1,2.36808552,2.65702964,1489.9,2053.7,1875,1781.25,563.758,468.75,0.2889,0.2507,-281,321,321
"PANMP1B_20200317_175500_150-160.wav","Benchmark","HSWO","bout 3",0,1,3.13441558,3.37310855,1328.9,2094,1875,1875,765.101,656.25,0.2387,0.2027,-290,381,381
"OLV110U_20210109_074500_70-80.wav","Passive","HSWO","bout 1",0,1,0.157034800000005,0.458541800000006,1449.7,3865.8,3656.25,2250,2416.107,2250,0.3015,0.2613,-669,811,811
"OLV110U_20210109_074500_70-80.wav","Passive","HSWO","bout 2",0,1,7.8643052,8.12184240000001,1489.9,3986.6,1781.25,2531.25,2496.644,2250,0.2575,0.2133,-759,686,759
"OLV110U_20210109_074500_80-90.wav","Passive","HSWO","bout 1",0,1,4.7424524,5.0942105,1328.9,4308.7,3375,2718.75,2979.866,2718.75,0.3518,0.304,-857,756,857
"OLV110R_20201202_081000_110-120.wav","Active","HSWO","bout 1",0,1,9.497467651,9.786411772,3302,4912.8,4593.75,4500,1610.738,1031.25,0.2889,0.2133,-635,601,635
"OLV110R_20201202_081000_120-130.wav","Active","HSWO","bout 1",0,1,0,1.28768576,3302,4993.3,4781.25,4406.25,1691.275,1031.25,1.2877,1.216,-708,761,761
"OLV110R_20201202_081000_130-140.wav","Active","HSWO","bout 1",0,1,6.3316451,8.04018426,3020.1,4671.1,4593.75,4500,1651.007,1031.25,1.7085,1.6,-1193,1243,1243
"OLV208R_20200327_185000_180-190.wav","Active","BRBO","bout 1",0,1,1.042711396,1.532660124,463.1,805.4,656.25,562.5,342.282,281.25,0.4899,0.4,-720,470,720
"OLV208R_20200327_185000_180-190.wav","Active","BRBO","bout 2",0,1,2.24245764,2.744969156,463.1,845.6,656.25,562.5,382.55,281.25,0.5025,0.4107,-925,802,925
"OLV208R_20200327_185000_180-190.wav","Active","BRBO","bout 3",0,1,4.208533946,4.798984977,402.7,805.4,656.25,562.5,402.685,281.25,0.5905,0.448,-952,1037,1037
"OLV208R_20200327_185000_200-210.wav","Active","BRBO","bout 1",0,1,0.238692970000001,0.672109150000001,443,825.5,656.25,656.25,382.55,281.25,0.4334,0.352,-918,1143,1143
"OLV208R_20200327_185000_200-210.wav","Active","BRBO","bout 2",0,1,1.41331364,1.91582515,443,845.6,656.25,656.25,402.685,187.5,0.5025,0.3733,-935,1007,1007
"OLV208R_20200327_185000_200-210.wav","Active","BRBO","bout 3",0,1,2.55024594,3.07160164,463.1,845.6,656.25,656.25,382.55,187.5,0.5214,0.3787,-936,912,936
"OLV208R_20200327_185000_200-210.wav","Active","BRBO","bout 4",0,1,6.97862868,7.44345183,443,825.5,656.25,656.25,382.55,187.5,0.4648,0.352,-797,661,797
"OLV208R_20200327_185000_200-210.wav","Active","BRBO","bout 5",0,1,8.17837492,8.66832365,463.1,805.4,656.25,656.25,342.282,187.5,0.4899,0.3467,-765,730,765
"UPMAP3B_20201211_181500_230-240.wav","Benchmark","GENI","bout 1",0,1,4.974864008,5.866821948,1489.9,2375.8,2250,2062.5,885.906,750,0.892,0.784,-895,905,905
"UPMAP1B_20201211_181500_220-230.wav","Benchmark","GENI","bout 1",0,1,3.46732946,4.535166431,1127.5,2496.6,2343.75,2062.5,1369.128,1125,1.0678,0.9013,-6025,5309,6025
"UPMAP1B_20201211_181500_220-230.wav","Benchmark","GENI","bout 2",0,1,8.084154012,8.982393347,1409.4,2577.2,2343.75,2156.25,1167.785,843.75,0.8982,0.7627,-5910,4522,5910
"UPMAP1B_20201211_181500_230-240.wav","Benchmark","GENI","bout 1",0,1,3.40451552,4.34672461,1369.1,2536.9,2343.75,2156.25,1167.785,843.75,0.9422,0.752,-7681,7543,7681
"UPMAP1B_20201211_181500_230-240.wav","Benchmark","GENI","bout 2",0,1,7.90827498,8.83792129,1449.7,2496.6,2343.75,2156.25,1046.98,750,0.9296,0.7947,-6907,7397,7397
