site_id,common_name,density
STIN02U,Crimson-backed Sunbird,0.074812422
THEN10U,Crimson-backed Sunbird,0.112218633
UPMAP1B,Crimson-backed Sunbird,0.187031055
UPMAP3B,Crimson-backed Sunbird,0.187031055
UPMAP4B,Crimson-backed Sunbird,0.224437265
UPMAP5B,Crimson-backed Sunbird,0.224437265
UPMAP6B,Crimson-backed Sunbird,0.074812422
VAR210R,Crimson-backed Sunbird,0.149624844
VAR310R,Crimson-backed Sunbird,0.224437265
VAR310U,Crimson-backed Sunbird,0.149624844
VAR410R,Crimson-backed Sunbird,0.149624844
VAR410U,Crimson-backed Sunbird,0.112218633
HP36P1B,Mountain Imperial-Pigeon,0.032493991
HP36P3B,Mountain Imperial-Pigeon,0
HP36P4B,Mountain Imperial-Pigeon,0
HP37P1B,Mountain Imperial-Pigeon,0.016246996
HP37P2B,Mountain Imperial-Pigeon,0.024370494
HP37P4B,Mountain Imperial-Pigeon,0.008123498
HP4008R,Mountain Imperial-Pigeon,0.016246996
HP4008U,Mountain Imperial-Pigeon,0.008123498
INBS04R,Mountain Imperial-Pigeon,0
INBS04U,Mountain Imperial-Pigeon,0
INME03R,Mountain Imperial-Pigeon,0
INME03U,Mountain Imperial-Pigeon,0
INOA03R,Mountain Imperial-Pigeon,0
IPTO04R,Mountain Imperial-Pigeon,0.008123498
IPTO04U,Mountain Imperial-Pigeon,0
IPTO06R,Mountain Imperial-Pigeon,0
IPTO06U,Mountain Imperial-Pigeon,0
OLCAP2B,Mountain Imperial-Pigeon,0
OLCAP3B,Mountain Imperial-Pigeon,0.016246996
OLV110R,Mountain Imperial-Pigeon,0
OLV110U,Mountain Imperial-Pigeon,0
OLV208R,Mountain Imperial-Pigeon,0
OLV208U,Mountain Imperial-Pigeon,0
PANMP1B,Mountain Imperial-Pigeon,0.032493991
PANMP2B,Mountain Imperial-Pigeon,0.008123498
PANMP3B,Mountain Imperial-Pigeon,0.032493991
SEL107R,Mountain Imperial-Pigeon,0
SEL107U,Mountain Imperial-Pigeon,0
SEL207R,Mountain Imperial-Pigeon,0
SEL207U,Mountain Imperial-Pigeon,0
STIN02R,Mountain Imperial-Pigeon,0
STIN02U,Mountain Imperial-Pigeon,0
THEN10U,Mountain Imperial-Pigeon,0
UPMAP1B,Mountain Imperial-Pigeon,0.008123498
UPMAP3B,Mountain Imperial-Pigeon,0
UPMAP4B,Mountain Imperial-Pigeon,0.016246996
UPMAP5B,Mountain Imperial-Pigeon,0.008123498
UPMAP6B,Mountain Imperial-Pigeon,0
VAR210R,Mountain Imperial-Pigeon,0
VAR310R,Mountain Imperial-Pigeon,0.008123498
VAR310U,Mountain Imperial-Pigeon,0.016246996
VAR410R,Mountain Imperial-Pigeon,0
VAR410U,Mountain Imperial-Pigeon,0
HP36P1B,Greenish Warbler,0.31993387
HP36P3B,Greenish Warbler,0.255947096
HP36P4B,Greenish Warbler,0.351927257
HP37P1B,Greenish Warbler,0.447907418
HP37P2B,Greenish Warbler,0.255947096
HP37P4B,Greenish Warbler,0.255947096
HP4008R,Greenish Warbler,0.191960322
HP4008U,Greenish Warbler,0.159966935
INBS04R,Greenish Warbler,0.159966935
INBS04U,Greenish Warbler,0.287940483
INME03R,Greenish Warbler,0.511894192
INME03U,Greenish Warbler,0.383920644
INOA03R,Greenish Warbler,0.159966935
IPTO04R,Greenish Warbler,0.31993387
IPTO04U,Greenish Warbler,0.255947096
IPTO06R,Greenish Warbler,0.287940483
IPTO06U,Greenish Warbler,0.31993387
OLCAP2B,Greenish Warbler,0.191960322
OLCAP3B,Greenish Warbler,0.223953709
OLV110R,Greenish Warbler,0.383920644
OLV110U,Greenish Warbler,0.063986774
OLV208R,Greenish Warbler,0.351927257
OLV208U,Greenish Warbler,0.159966935
PANMP1B,Greenish Warbler,0.159966935
PANMP2B,Greenish Warbler,0.351927257
PANMP3B,Greenish Warbler,0.351927257
SEL107R,Greenish Warbler,0.223953709
SEL107U,Greenish Warbler,0.351927257
SEL207R,Greenish Warbler,0.31993387
SEL207U,Greenish Warbler,0.063986774
STIN02R,Greenish Warbler,0.287940483
STIN02U,Greenish Warbler,0.191960322
THEN10U,Greenish Warbler,0.287940483
UPMAP1B,Greenish Warbler,0.191960322
UPMAP3B,Greenish Warbler,0.191960322
UPMAP4B,Greenish Warbler,0.063986774
UPMAP5B,Greenish Warbler,0.223953709
UPMAP6B,Greenish Warbler,0.063986774
VAR210R,Greenish Warbler,0.159966935
VAR310R,Greenish Warbler,0.191960322
VAR310U,Greenish Warbler,0.255947096
VAR410R,Greenish Warbler,0.287940483
VAR410U,Greenish Warbler,0.159966935
HP36P1B,Vernal Hanging-Parrot,0.08897516
HP36P3B,Vernal Hanging-Parrot,0.04448758
HP36P4B,Vernal Hanging-Parrot,0.266925481
HP37P1B,Vernal Hanging-Parrot,0.266925481
HP37P2B,Vernal Hanging-Parrot,0.08897516
HP37P4B,Vernal Hanging-Parrot,0.177950321
HP4008R,Vernal Hanging-Parrot,0.04448758
HP4008U,Vernal Hanging-Parrot,0.266925481
INBS04R,Vernal Hanging-Parrot,0.177950321
INBS04U,Vernal Hanging-Parrot,0.08897516
INME03R,Vernal Hanging-Parrot,0.04448758
INME03U,Vernal Hanging-Parrot,0
